Plugin,Menu,Section,Type,English,Japanese
"ICE","","",""," by Ice"," by Ice"
"ICE","","","","A Rank Missions","Aランクミッション"
"ICE","","","","A Rank [0]","Aランク [0]"
"ICE","","","","A way for you to save your own positions if you choose to not use a randomized spot that's included in the plugin
You don't have to use this, it will just use a random spot if:
1: A position is saved:
2: A random spot even is saved",""
"ICE","","","","Action Info: ","アクション情報: "
"ICE","","","","Add Armor/Housing/Mounts","装備／ハウジング／マウントを追加"
"ICE","","","","Add delay to aethernet / npc travel","都市内転送／NPC移動に待機を追加"
"ICE","","","","Add delay to crafting menu","製作メニューに待機を追加"
"ICE","","","","Add delay to gather","採集に待機を追加"
"ICE","","","","Add delay to mission menu","ミッションメニューに待機を追加"
"ICE","","","","Add Location","地点を追加"
"ICE","","","","Add Material/Dyes/Items","素材／染料／アイテムを追加"
"ICE","","","","Add New Command","新しいコマンドを追加"
"ICE","","","","Add Profile","プロファイルを追加"
"ICE","","","","Add to Cosmic Agenda","コスモアジェンダに追加"
"ICE","","","","Adds a random delay before interacting with the aethershard / red alert npc travel.","エーテルシャード／レッドアラートNPC移動で操作する前にランダムな待機時間を追加します。"
"ICE","","","","Adds a small random offset to navigation destinations so the character doesn't always follow the exact same path","移動先に小さなランダムずれを加え、毎回まったく同じ経路を通らないようにします"
"ICE","","","","after","後"
"ICE","","","","Ageless Words / Solid Reason","老農の知／石工の理"
"ICE","","","","Agenda Mode","アジェンダモード"
"ICE","","","","ALC",""
"ICE","","","","Alchemist","錬金術師"
"ICE","","","","All Class progresses","全クラス進捗"
"ICE","","","","All Classes","全クラス"
"ICE","","","","All Enabled [0]","有効なものすべて [0]"
"ICE","","","","All Missions Golded##GoldClassMissions","全ミッション金評価済み##GoldClassMissions"
"ICE","","","","Allow All Provisional Kinds","全臨時ミッション種別を許可"
"ICE","","","","Allow Criticals for all Classes","全クラスのクリティカルを許可"
"ICE","","","","Allow Red Alerts for Relic","レリック用にレッドアラートを許可"
"ICE","","","","Always navigate to the closest targetable node instead of following the fixed route order.
Useful for timed EX+ missions where speed matters.",""
"ICE","","","","Anything below 0 to keep all logs
Above 0 to keep a set limit",""
"ICE","","","","Apply a 10% buff to your boon chance.","採集ボーナス発生率を10%上昇させます。"
"ICE","","","","Apply a 30% buff to your boon chance.","採集ボーナス発生率を30%上昇させます。"
"ICE","","","","Apply to agenda","アジェンダへ適用"
"ICE","","","","Apply to Mission Types","ミッション種別へ適用"
"ICE","","","","Apply to similar missions","類似ミッションへ適用"
"ICE","","","","ARM",""
"ICE","","","","Armorer","甲冑師"
"ICE","","","","Artisan is installed","Artisan：導入済み"
"ICE","","","","Artisan Repo is Installed","Artisanリポジトリ：導入済み"
"ICE","","","","Artisanリポジトリ：導入済み",""
"ICE","","","","Artisan共通設定",""
"ICE","","","","Artisan：導入済み",""
"ICE","","","","Astrologian","占星術師"
"ICE","","","","Auto",""
"ICE","","","","Auto Cordial","コーディアル自動使用"
"ICE","","","","Auto Hide/Show Planet Tokens","惑星トークンを自動表示／非表示"
"ICE","","","","Auto Resize Overlay","オーバーレイを自動リサイズ"
"ICE","","","","Auto Select","自動選択"
"ICE","","","","Auto Select Job","ジョブを自動選択"
"ICE","","","","Auto start upon entering a Cosmic Exploration area","コスモエクスプローラーエリア進入時に自動開始"
"ICE","","","","Auto-Remove Stellar Status","ステラーステータスを自動解除"
"ICE","","","","Auto-Use","自動使用"
"ICE","","","","Auto-Use Stellar Sprint","ステラースプリントを自動使用"
"ICE","","","","AutoHook is installed","AutoHook：導入済み"
"ICE","","","","AutoHook Repo is Installed","AutoHookリポジトリ：導入済み"
"ICE","","","","AutoHookリポジトリ：導入済み",""
"ICE","","","","AutoHook：導入済み",""
"ICE","","","","Automate cosmodrone","コスモドローンを自動化"
"ICE","","","","Automatically removes the Star Contributor visual effect (the glow you get for being a top contributor).
The buff restores itself when you re-enter the zone.",""
"ICE","","","","Automating Hub Activities","拠点アクティビティを自動化"
"ICE","","","","Auxesia","Auxesia"
"ICE","","","","Auxesia [0 / 30]","Auxesia [0 / 30]"
"ICE","","","","Auxesia [0 / 330]","Auxesia [0 / 330]"
"ICE","","","","Average Time History to keep","保持する平均時間履歴"
"ICE","","","","Avoid Stellar Return for pathing","経路移動でステラーリターンを避ける"
"ICE","","","","Aランク [0]",""
"ICE","","","","Aランク以下のミッションを維持###Keep ""A Rank"" missions and below",""
"ICE","","","","B Rank Missions","Bランクミッション"
"ICE","","","","B Rank [0]","Bランク [0]"
"ICE","","","","Bard","吟遊詩人"
"ICE","","","","Battle Job","戦闘ジョブ"
"ICE","","","","Battle Job##relicJob","戦闘ジョブ##relicJob"
"ICE","","","","Beta, might not work","ベータ機能：正常に動作しない場合があります"
"ICE","","","","Black Mage","黒魔道士"
"ICE","","","","Blacksmith","鍛冶師"
"ICE","","","","Blessed / Kings Yield I","恵みの加護／キングスイールドI"
"ICE","","","","Blessed / Kings Yield II","恵みの加護／キングスイールドII"
"ICE","","","","Boon##Boon_4","採集ボーナス##Boon_4"
"ICE","","","","Botanist","園芸師"
"ICE","","","","Bountiful Yield II / Bountiful Harvest II","バウンティフルイールドII／バウンティフルハーベストII"
"ICE","","","","Bronze Enabled","銅評価を有効"
"ICE","","","","BSM",""
"ICE","","","","BTN","BTN"
"ICE","","","","Buy At Amount","この所持数で購入"
"ICE","","","","Buy Drones","ドローンを購入"
"ICE","","","","Buy Items","アイテムを購入"
"ICE","","","","Buy: Will buy X amount of those items, as it buys it from the vendor, the number will decrease until it hits 0.
Good for one off buys, or something that you only need a particular amount of",""
"ICE","","","","Bランク [0]",""
"ICE","","","","C Rank Missions","Cランクミッション"
"ICE","","","","C Rank [0]","Cランク [0]"
"ICE","","","","Carpenter","木工師"
"ICE","","","","Chained + Boon##Chained + Boon_5","連続採集＋採集ボーナス##Chained + Boon_5"
"ICE","","","","Chained##Chained_3","連続採集##Chained_3"
"ICE","","","","Character Settings","キャラクター設定"
"ICE","","","","Class Level##ClassLevel","クラスレベル##ClassLevel"
"ICE","","","","Class Progress","クラス進捗"
"ICE","","","","Class Score","クラススコア"
"ICE","","","","Class Score##ClassScore",""
"ICE","","","","Clear shopping list","買い物リストをクリア"
"ICE","","","","Configure the weights for each item in the Gamba. Higher weight = more desirable.","Gamba内の各アイテムの重みを設定します。数値が高いほど優先度が高くなります。"
"ICE","","","","Copy Logs","ログをコピー"
"ICE","","","","Copy Selected Profile","選択中プロファイルをコピー"
"ICE","","","","Cordial Settings","コーディアル設定"
"ICE","","","","Cosmic Agenda","コスモアジェンダ"
"ICE","","","","Cosmic Helper","コスモヘルパー"
"ICE","","","","Craft Item Settings","製作アイテム設定"
"ICE","","","","Crafting","製作"
"ICE","","","","Crafting Return Spot","製作時の帰還地点"
"ICE","","","","Credit Amount##CreditAmount","クレジット量##CreditAmount"
"ICE","","","","Credit Shopping","クレジット購入"
"ICE","","","","Critical Missions","クリティカルミッション"
"ICE","","","","CRP",""
"ICE","","","","CUL",""
"ICE","","","","Culinarian","調理師"
"ICE","","","","Current planet has no stored fishing holes in the sheets. (Might need to be added?)","現在の惑星には保存済みの釣り場データがありません。（追加が必要かもしれません）"
"ICE","","","","Current Tool XP","現在のツールEXP"
"ICE","","","","Currently have: 0 Grade 8 Dark Matter","現在所持：G8ダークマター 0個"
"ICE","","","","Cランク [0]",""
"ICE","","","","D Rank Missions","Dランクミッション"
"ICE","","","","D Rank [0]","Dランク [0]"
"ICE","","","","Dancer","踊り子"
"ICE","","","","Dark Knight","暗黒騎士"
"ICE","","","","Debug",""
"ICE","","","","Default","デフォルト"
"ICE","","","","Default##Default_0","デフォルト##Default_0"
"ICE","","","","Delay Post Relic Turnin","レリック納品後の待機時間"
"ICE","","","","Delete Profile","プロファイルを削除"
"ICE","","","","Delete Selected Profile","選択中プロファイルを削除"
"ICE","","","","Description: ","説明: "
"ICE","","","","Dev Favorites","開発者おすすめ"
"ICE","","","","Disable HUD Clipping","HUDのクリッピングを無効化"
"ICE","","","","Disable Pathfinding to Red Alerts","レッドアラートへの経路探索を無効化"
"ICE","","","","Dismount Target Range","降りる対象距離"
"ICE","","","","Distance before hub return is used (yalms)","拠点帰還を使う距離（ヤルム）"
"ICE","","","","Do you want to buy drones? If yes, enable this","ドローンを購入する場合は有効にしてください"
"ICE","","","","Do you want to run the automated drone finding? If yes, enable this
PLEASE NOTE. DO. NOT. LEAVE. THIS. ALONE. This is still being worked on heavily",""
